Season,Name,Team,W,L,ERA,GS,CG,ShO,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,SO,y
2016,Jake Arrieta,Cubs,18,8,3.1,31,1,1,197.1,795,138,72,68,16,76,1,6,16,190,0
2009,Ted Lilly,Cubs,12,9,3.1,27,0,0,177,706,151,66,61,22,36,2,2,3,151,0
2013,Travis Wood,Cubs,9,12,3.11,32,0,0,200,821,163,73,69,18,66,2,8,6,144,0
2007,John Smoltz,Braves,14,8,3.11,32,0,0,205.2,853,196,78,71,18,47,9,4,8,197,0
2013,Kris Medlen,Braves,15,11,3.11,31,0,0,194,808,190,76,67,17,46,1,8,2,155,0
2007,Chris Young,Padres,9,8,3.12,30,0,0,173,705,118,66,60,10,72,0,7,7,167,0
2009,Johan Santana,Mets,13,9,3.13,25,0,0,166.2,701,156,67,58,20,46,3,3,1,146,0
2010,Brett Myers,Astros,14,8,3.14,33,2,0,223.2,936,212,88,78,20,66,3,3,2,180,0
2014,Stephen Strasburg,Nationals,14,11,3.14,34,0,0,215,868,198,86,75,23,43,4,5,7,242,0
2009,Dan Haren,Diamondbacks,14,10,3.14,33,3,1,229.1,909,192,83,80,27,38,2,4,13,223,0
2010,Matt Cain,Giants,13,11,3.14,33,4,2,223.1,896,181,84,78,22,61,4,4,8,177,0
2012,Cliff Lee,Phillies,6,9,3.16,30,0,0,211,847,207,79,74,26,28,0,0,4,207,0
2013,Mat Latos,Reds,14,7,3.16,32,1,0,210.2,881,197,82,74,14,58,5,10,8,187,0
2008,Chad Billingsley,Dodgers,16,10,3.16,32,1,1,196.1,841,183,75,69,14,79,6,8,10,197,0
2011,Jordan Zimmermann,Nationals,8,11,3.18,26,1,0,161.1,662,154,62,57,12,31,2,7,3,124,0
2015,A.J. Burnett,Pirates,9,7,3.18,26,0,0,164,699,174,64,58,11,49,2,11,6,143,0
2007,Roy Oswalt,Astros,14,7,3.19,32,1,0,211.2,909,221,80,75,14,60,6,7,1,154,0
2013,Julio Teheran,Braves,14,8,3.2,30,0,0,185.2,774,173,69,66,22,45,4,13,2,170,0
2017,Zack Greinke,Diamondbacks,17,7,3.2,32,1,0,202.1,801,172,80,72,25,45,0,0,12,215,0
2016,Julio Teheran,Braves,7,10,3.21,30,1,1,188,758,157,70,67,22,41,2,9,7,167,0
2011,Madison Bumgarner,Giants,13,13,3.21,33,0,0,204.2,844,202,82,73,12,46,5,5,0,191,0
2013,Mike Minor,Braves,13,9,3.21,32,1,0,204.2,820,177,79,73,22,46,2,1,5,181,0
2010,Chris Carpenter,Cardinals,16,9,3.22,35,1,0,235,969,214,99,84,21,63,4,13,3,179,0
2011,Tim Hudson,Braves,16,10,3.22,33,1,1,215,884,189,86,77,14,56,6,15,10,158,0
2009,Josh Johnson,Marlins,15,5,3.23,33,2,0,209,855,184,77,75,14,58,6,6,10,191,0
2009,Randy Wolf,Dodgers,11,7,3.23,34,0,0,214.1,862,178,81,77,24,58,1,6,4,160,0
2008,Derek Lowe,Dodgers,14,11,3.24,34,1,0,211,851,194,84,76,14,45,7,1,2,147,0
2008,Edinson Volquez,Reds,17,5,3.24,32,0,0,194.1,830,166,79,70,13,92,5,14,10,204,0
2013,Jordan Zimmermann,Nationals,19,9,3.25,32,4,2,213.1,865,192,81,77,19,40,0,7,3,161,0
2015,Tyson Ross,Padres,10,12,3.26,33,1,0,196,823,172,78,71,9,84,3,8,14,212,0
2011,R.A. Dickey,Mets,8,13,3.29,32,1,0,207.2,872,201,85,76,18,54,2,9,9,133,0
2008,Brandon Webb,Diamondbacks,22,7,3.3,34,3,1,226.2,944,206,95,83,13,65,5,12,8,183,0
2013,A.J. Burnett,Pirates,10,11,3.3,30,1,0,191,801,165,79,70,11,67,3,9,12,209,0
2011,Matt Garza,Cubs,10,10,3.32,31,2,0,198,839,186,90,73,14,63,5,3,6,197,0
2007,Tim Hudson,Braves,16,10,3.33,34,1,1,224.1,925,221,87,83,10,53,8,8,5,132,0
2010,Tommy Hanson,Braves,10,11,3.33,34,1,0,202.2,845,182,86,75,14,56,3,14,3,173,0
2008,Dan Haren,Diamondbacks,16,8,3.33,33,1,1,216,881,204,86,80,19,40,4,6,11,206,0
2015,Jon Lester,Cubs,11,12,3.34,32,1,0,205,828,183,83,76,16,47,0,7,8,207,0
2012,Wade Miley,Diamondbacks,15,11,3.34,29,0,0,186,769,186,76,69,13,33,0,2,6,142,0
2016,John Lackey,Cubs,11,8,3.35,29,0,0,188.1,748,146,74,70,23,53,1,9,4,180,0
2013,Kyle Lohse,Brewers,11,10,3.35,32,2,1,198.2,806,196,78,74,26,36,1,3,1,125,0
2013,Gio Gonzalez,Nationals,11,8,3.36,32,1,1,195.2,819,169,79,73,17,76,1,2,4,192,0
2012,Ryan Vogelsong,Giants,14,9,3.37,31,0,0,189.2,788,171,76,71,17,62,7,8,3,158,0
