Season,Name,Team,W,L,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,y
2008,Carlos Zambrano,Cubs,14,6,30,30,188.2,6.2,3.43,0.86,0.27,0.734,0.472,0.09,3.91,4.23,4.4,2.8,0
2012,Lucas Harrell,Astros,11,11,32,32,193.2,6.51,3.62,0.6,0.289,0.708,0.572,0.097,3.76,3.75,3.89,2.8,0
2013,Kris Medlen,Braves,15,11,31,31,194,7.19,2.13,0.79,0.297,0.763,0.45,0.094,3.11,3.42,3.55,2.8,0
2007,Carlos Zambrano,Cubs,18,13,34,34,216.1,7.36,4.2,0.96,0.269,0.749,0.468,0.102,3.95,4.58,4.51,2.8,0
2008,Jamie Moyer,Phillies,16,7,33,33,196.1,5.64,2.84,0.92,0.286,0.766,0.439,0.09,3.71,4.32,4.48,2.8,0
2009,Yovani Gallardo,Brewers,13,12,30,30,185.2,9.89,4.56,1.02,0.275,0.779,0.45,0.123,3.73,3.97,3.71,2.8,0
2012,Jeff Samardzija,Cubs,9,13,28,28,174.2,9.27,2.89,1.03,0.296,0.73,0.446,0.128,3.81,3.55,3.38,2.7,0
2017,Zach Davies,Brewers,17,9,33,33,191.1,5.83,2.59,0.94,0.302,0.742,0.502,0.12,3.9,4.22,4.42,2.7,0
2012,Homer Bailey,Reds,13,10,33,33,208,7.27,2.25,1.12,0.29,0.736,0.449,0.115,3.68,3.97,3.94,2.7,0
2007,Oliver Perez,Mets,15,10,29,29,177,8.85,4.02,1.12,0.271,0.716,0.328,0.088,3.56,4.35,4.5,2.7,0
2013,Travis Wood,Cubs,9,12,32,32,200,6.48,2.97,0.81,0.248,0.774,0.332,0.069,3.11,3.89,4.5,2.7,0
2011,Hiroki Kuroda,Dodgers,13,16,32,32,202,7.17,2.18,1.07,0.287,0.799,0.432,0.113,3.07,3.78,3.56,2.7,0
2013,Jeff Samardzija,Cubs,8,13,33,33,213.2,9.01,3.29,1.05,0.314,0.717,0.482,0.133,4.34,3.77,3.45,2.7,0
2010,R.A. Dickey,Mets,11,9,26,26,173.1,5.35,2.13,0.68,0.277,0.772,0.553,0.086,2.86,3.64,3.73,2.7,0
2012,Jon Niese,Mets,13,9,30,30,190.1,7.33,2.32,1.04,0.272,0.765,0.483,0.126,3.4,3.8,3.64,2.7,0
2016,Bartolo Colon,Mets,15,8,33,33,190.1,6.01,1.51,1.13,0.292,0.764,0.43,0.115,3.45,4,4.18,2.7,0
2012,Chris Capuano,Dodgers,12,12,33,33,198.1,7.35,2.45,1.13,0.284,0.732,0.403,0.111,3.72,3.95,3.97,2.7,0
2017,Jon Lester,Cubs,13,8,32,32,180.2,8.97,2.99,1.3,0.31,0.687,0.462,0.158,4.33,4.1,3.85,2.7,0
2010,Johnny Cueto,Reds,12,7,31,31,185.2,6.69,2.71,0.92,0.29,0.761,0.417,0.086,3.64,3.97,4.09,2.6,0
2008,Randy Wolf,- - -,12,12,33,33,190.1,7.66,3.36,0.99,0.305,0.711,0.388,0.097,4.3,4.17,4.24,2.6,0
2008,Paul Maholm,Pirates,9,9,31,31,206.1,6.06,2.75,0.92,0.29,0.755,0.536,0.121,3.71,4.15,3.94,2.6,0
2007,Jeff Suppan,Brewers,12,12,34,34,206.2,4.96,2.96,0.78,0.318,0.704,0.454,0.073,4.62,4.42,4.77,2.6,0
2016,Jeff Samardzija,Giants,12,11,32,32,203.1,7.39,2.39,1.06,0.285,0.743,0.465,0.119,3.81,3.85,3.96,2.6,0
2010,Ryan Dempster,Cubs,15,12,34,34,215.1,8.69,3.59,1.04,0.294,0.71,0.474,0.113,3.85,3.99,3.74,2.6,0
2010,Mike Pelfrey,Mets,15,9,33,33,203,5.01,2.97,0.53,0.3,0.735,0.476,0.058,3.68,3.81,4.29,2.6,0
2012,Yovani Gallardo,Brewers,16,9,33,33,204,9,3.57,1.15,0.29,0.784,0.477,0.149,3.66,3.94,3.55,2.6,0
2012,Bronson Arroyo,Reds,12,10,32,32,202,5.75,1.56,1.16,0.286,0.767,0.414,0.106,3.74,4.08,4.19,2.6,0
2012,Trevor Cahill,Diamondbacks,13,12,32,32,200,7.02,3.33,0.72,0.289,0.714,0.612,0.123,3.78,3.85,3.76,2.6,0
2010,Randy Wells,Cubs,8,14,32,32,194.1,6.67,2.92,0.88,0.311,0.72,0.469,0.094,4.26,3.93,3.94,2.6,0
2014,Zack Wheeler,Mets,11,11,32,32,185.1,9.08,3.84,0.68,0.304,0.729,0.54,0.101,3.54,3.55,3.49,2.6,0
2015,Alex Wood,- - -,12,12,32,32,189.2,6.6,2.8,0.71,0.313,0.729,0.495,0.094,3.84,3.69,3.9,2.6,0
2016,Mike Leake,Cardinals,9,12,30,30,176.2,6.37,1.53,1.02,0.318,0.656,0.537,0.135,4.69,3.83,3.76,2.5,0
2012,Ian Kennedy,Diamondbacks,15,12,33,33,208.1,8.08,2.38,1.21,0.306,0.749,0.373,0.108,4.02,4.04,4.13,2.5,0
2009,Derek Lowe,Braves,15,10,34,34,194.2,5.13,2.91,0.74,0.327,0.687,0.563,0.094,4.67,4.06,4.14,2.5,0
2014,Aaron Harang,Braves,12,12,33,33,204.1,7.09,3.13,0.66,0.318,0.748,0.394,0.064,3.57,3.57,4.03,2.5,0
2012,Ryan Vogelsong,Giants,14,9,31,31,189.2,7.5,2.94,0.81,0.284,0.76,0.435,0.082,3.37,3.7,4.15,2.5,0
2017,Tanner Roark,Nationals,13,11,30,30,175.1,8.32,3.23,1.13,0.3,0.669,0.485,0.134,4.57,4.12,4.15,2.5,0
2016,Chad Bettis,Rockies,14,8,32,32,186,6.68,2.85,1.06,0.31,0.681,0.512,0.139,4.79,4.26,4.14,2.5,0
