Season,Name,Team,W,L,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR,y
2011,Tim Stauffer,Padres,9,12,31,31,185.2,6.2,2.57,0.97,0.282,0.751,0.518,0.125,3.73,4.03,3.71,1.5,0
2007,Jason Marquis,Cubs,12,9,33,33,191,5.04,3.53,1.04,0.264,0.685,0.495,0.106,4.43,4.98,4.85,1.4,0
2013,Wily Peralta,Brewers,11,15,32,32,183.1,6.33,3.58,0.93,0.293,0.666,0.51,0.119,4.37,4.3,4.13,1.4,0
2014,Dan Haren,Dodgers,13,11,32,32,186,7.02,1.74,1.31,0.276,0.657,0.415,0.119,4.02,4.09,3.7,1.4,0
2015,Chris Heston,Giants,12,11,31,31,177.2,7.14,3.24,0.81,0.299,0.734,0.53,0.118,3.95,4.02,3.98,1.4,0
2012,Mike Leake,Reds,8,9,30,30,179,5.83,2.06,1.31,0.306,0.71,0.489,0.167,4.58,4.42,3.82,1.4,0
2014,Ryan Vogelsong,Giants,8,13,32,32,184.2,7.36,2.83,0.88,0.294,0.723,0.384,0.088,4,3.85,3.96,1.4,0
2009,John Lannan,Nationals,9,13,33,33,206.1,3.88,2.97,0.96,0.272,0.727,0.519,0.105,3.88,4.7,4.64,1.4,0
2009,Doug Davis,Diamondbacks,9,14,34,34,203.1,6.46,4.56,1.11,0.291,0.76,0.431,0.117,4.12,4.84,4.62,1.4,0
2017,Lance Lynn,Cardinals,11,8,33,33,186.1,7.39,3.77,1.3,0.244,0.79,0.44,0.142,3.43,4.82,4.75,1.4,0
2008,John Lannan,Nationals,9,15,31,31,182,5.79,3.56,1.14,0.266,0.74,0.542,0.152,3.91,4.79,4.24,1.4,0
2007,Braden Looper,Cardinals,12,12,30,30,174.2,4.48,2.63,1.13,0.275,0.668,0.42,0.102,4.9,4.83,4.74,1.3,0
2008,Barry Zito,Giants,10,17,32,32,180,6,5.1,0.8,0.295,0.657,0.364,0.068,5.15,4.72,5.29,1.3,0
2012,James McDonald,Pirates,12,8,29,29,171,7.95,3.58,1.05,0.268,0.713,0.394,0.108,4.05,4.09,4.17,1.3,0
2014,Alfredo Simon,Reds,15,10,32,32,196.1,5.82,2.57,1.01,0.265,0.775,0.482,0.118,3.44,4.33,4.05,1.3,0
2011,John Lannan,Nationals,10,13,33,33,184.2,5.17,3.7,0.73,0.296,0.731,0.541,0.101,3.7,4.28,4.24,1.2,0
2009,Ross Ohlendorf,Pirates,11,10,29,29,176.2,5.55,2.7,1.27,0.264,0.763,0.406,0.111,3.92,4.72,4.56,1.2,0
2008,Dave Bush,Brewers,9,10,29,29,181,5.32,2.34,1.44,0.239,0.712,0.405,0.121,4.28,4.98,4.64,1.2,0
2011,Aaron Harang,Padres,14,7,28,28,170.2,6.54,3.06,1.05,0.302,0.784,0.406,0.094,3.64,4.17,4.21,1.2,0
2012,Mike Minor,Braves,11,10,30,30,179.1,7.28,2.81,1.3,0.252,0.706,0.354,0.117,4.12,4.38,4.32,1.2,0
2013,Bronson Arroyo,Reds,14,12,32,32,202,5.52,1.51,1.43,0.267,0.779,0.444,0.14,3.79,4.49,3.97,1.2,0
2008,Tim Redding,Nationals,10,11,33,33,182,5.93,3.21,1.34,0.294,0.685,0.398,0.113,4.95,4.93,4.72,1.2,0
2010,Chris Volstad,Marlins,12,9,30,30,175,5.25,3.09,0.87,0.298,0.696,0.479,0.088,4.58,4.34,4.43,1.1,0
2016,Dan Straily,Reds,14,8,31,31,183,7.57,3.39,1.48,0.244,0.813,0.325,0.121,3.79,4.87,5,1.1,0
2016,Tom Koehler,Marlins,9,13,33,33,176.2,7.49,4.23,1.12,0.298,0.733,0.422,0.121,4.33,4.6,4.69,1.1,0
2015,Julio Teheran,Braves,11,8,33,33,200.2,7.67,3.27,1.21,0.288,0.738,0.395,0.13,4.04,4.4,4.19,1.1,0
2010,Jon Garland,Padres,14,12,33,33,200,6.12,3.92,0.9,0.265,0.759,0.519,0.11,3.47,4.41,4.22,1.1,0
2017,Julio Teheran,Braves,11,13,32,32,188.1,7.22,3.44,1.48,0.281,0.731,0.4,0.137,4.49,4.95,4.96,1.1,0
2014,Travis Wood,Cubs,8,13,31,31,173.2,7.57,3.94,1.04,0.32,0.665,0.344,0.088,5.03,4.38,4.51,1.1,0
2015,James Shields,Padres,13,7,33,33,202.1,9.61,3.6,1.47,0.299,0.799,0.449,0.176,3.91,4.45,3.7,1,0
2008,Scott Olsen,Marlins,8,11,33,33,201.2,5.04,3.08,1.34,0.258,0.716,0.374,0.109,4.2,5.02,4.89,1,0
2012,Tim Lincecum,Giants,10,15,33,33,186,9.19,4.35,1.11,0.309,0.678,0.459,0.146,5.18,4.18,3.81,1,0
2011,Jake Westbrook,Cardinals,12,9,33,33,183.1,5.11,3.58,0.79,0.313,0.691,0.593,0.114,4.66,4.25,4.08,0.9,0
2015,Dan Haren,- - -,11,9,32,32,187.1,6.34,1.83,1.49,0.256,0.798,0.306,0.11,3.6,4.61,4.69,0.9,0
2017,Matt Moore,Giants,6,15,31,31,172.1,7.68,3.5,1.41,0.321,0.668,0.374,0.117,5.59,4.78,5.12,0.9,0
2015,Aaron Harang,Phillies,6,15,29,29,172.1,5.64,2.66,1.36,0.293,0.697,0.361,0.105,4.86,4.83,4.99,0.9,0
2011,Mike Pelfrey,Mets,7,13,33,33,193.1,4.89,3.03,0.98,0.299,0.691,0.457,0.092,4.7,4.47,4.54,0.9,0
2014,Edinson Volquez,Pirates,13,7,31,31,190.2,6.51,3.35,0.8,0.263,0.774,0.503,0.092,3.07,4.18,4.22,0.9,0
2007,Dontrelle Willis,Marlins,10,15,35,35,205.1,6.4,3.81,1.27,0.318,0.7,0.464,0.134,5.17,5.13,4.62,0.9,0
2012,Barry Zito,Giants,15,8,32,32,184.1,5.57,3.42,0.98,0.281,0.73,0.404,0.087,4.15,4.49,4.92,0.9,0
2014,Kyle Kendrick,Phillies,10,13,32,32,199,5.47,2.58,1.13,0.29,0.705,0.446,0.11,4.61,4.57,4.35,0.9,0
2015,Jon Niese,Mets,9,10,29,29,173,5.83,2.81,1.04,0.296,0.71,0.545,0.145,4.16,4.43,4.11,0.9,0
2010,Randy Wolf,Brewers,13,12,34,34,215.2,5.93,3.63,1.21,0.275,0.753,0.394,0.102,4.17,4.85,4.71,0.8,0
2007,Woody Williams,Astros,8,15,31,31,186.2,4.87,2.56,1.64,0.283,0.73,0.393,0.12,5.06,5.57,5.11,0.7,0
